Target,AccMeanX,AccMeanY,AccMeanZ,AccMedianX,AccMedianY,AccMedianZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroMedianX,GyroMedianY,GyroMedianZ
1,0.28534,-0.13861,-0.95776,0.24927,-0.12048,-0.95312,-0.17748,4.19084,0.49809,-0.28626,4.25191,0.70611
1,0.31348,-0.16167,-0.95625,0.32275,-0.14038,-0.95020,0.52824,3.89160,0.37710,0.33588,3.96947,0.58779
1,0.32520,-0.15833,-0.95015,0.35327,-0.14099,-0.94348,0.18957,3.77354,0.03817,-0.28626,3.83206,0.24046
1,0.33657,-0.17247,-0.93764,0.38379,-0.14160,-0.93677,0.35660,4.48092,-0.10251,0.33588,3.96947,-0.10687
1,0.33786,-0.16418,-0.94168,0.36536,-0.14099,-0.94348,0.17653,4.43416,-0.16794,-0.28626,4.03817,-0.17939
1,0.33105,-0.17456,-0.94908,0.34692,-0.14160,-0.95020,0.16285,4.50636,-0.39610,0.05344,4.10687,-0.25191
1,0.31384,-0.16826,-0.95132,0.33484,-0.14099,-0.95984,0.03588,4.42137,-0.27863,-0.42748,4.03817,-0.17939
1,0.30142,-0.16209,-0.95594,0.32275,-0.14038,-0.96948,-0.05760,4.31992,-0.19015,-0.90840,3.96947,-0.10687
1,0.29140,-0.15653,-0.95797,0.29968,-0.12598,-0.96973,-0.12277,4.27036,-0.11260,-0.87405,3.84733,0.24046
1,0.29256,-0.15685,-0.95711,0.30640,-0.14038,-0.96948,-0.12331,4.25602,-0.03641,-0.83969,3.96947,0.58779
1,0.30824,-0.15897,-0.95858,0.31458,-0.14099,-0.96973,-0.21156,4.34951,-0.01963,-0.87405,4.02672,0.39313
1,0.33787,-0.17402,-0.95082,0.33484,-0.15112,-0.96008,-0.05398,4.11450,0.00709,-0.48473,4.02672,0.39313
1,0.35012,-0.17201,-0.95361,0.34705,-0.15112,-0.96008,-0.00600,3.84297,0.05125,-0.18321,3.84733,0.39313
1,0.36210,-0.16982,-0.95750,0.36548,-0.15112,-0.96802,-0.12268,3.70447,0.05889,-0.53817,3.69084,0.44656
1,0.36032,-0.17170,-0.95140,0.36548,-0.15112,-0.96802,-0.02017,3.98746,0.21592,-0.53817,3.69084,0.69466
1,0.34117,-0.15824,-0.95612,0.34705,-0.12659,-0.97070,-0.30316,4.11287,0.28190,-0.72519,3.90458,0.71756
1,0.32488,-0.15400,-0.96097,0.32666,-0.11060,-0.97461,-0.24918,4.19793,0.45802,-0.67939,4.09542,0.75954
1,0.32143,-0.14891,-0.97461,0.32666,-0.11060,-0.97900,-0.38822,3.95802,0.65976,-0.67939,4.09542,0.79389
1,0.33357,-0.15442,-0.96307,0.32678,-0.13611,-0.97900,-0.33860,3.84515,0.73173,-0.59924,3.90458,0.79389
1,0.35978,-0.15144,-0.96744,0.35181,-0.13611,-0.97900,-0.24809,4.14013,1.02126,-0.59924,3.90458,0.81298
1,0.37019,-0.15761,-0.97185,0.35181,-0.17200,-0.98389,-0.43402,4.29280,0.86423,-0.59924,4.22901,0.81298
