Target,AccMeanX,AccMeanY,AccMeanZ,AccMedianX,AccMedianY,AccMedianZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroMedianX,GyroMedianY,GyroMedianZ
1,0.33548,-0.12967,-1.03444,0.41846,-0.14648,-1.02808,-1.11996,4.12977,2.13195,-1.38931,3.74809,1.68321
1,0.24759,-0.09488,-1.02047,0.16956,-0.10388,-1.00830,-1.61887,3.66412,1.86205,-1.26336,3.74809,0.93893
1,0.26341,-0.07377,-0.95246,0.21362,-0.10315,-0.99963,-0.95038,5.79008,1.19520,-0.30153,5.32824,0.87405
1,0.35779,-0.14348,-1.00082,0.39856,-0.13440,-1.00500,-0.92857,5.34624,0.57906,-0.59160,4.63359,0.72137
1,0.23696,-0.13410,-1.01857,0.21411,-0.12952,-0.99548,0.25409,4.48146,-0.81679,-0.46565,4.58779,0.36641
1,0.27985,-0.10121,-0.97928,0.29980,-0.07434,-0.98950,-0.60523,4.61014,1.17884,-0.01527,5.25954,1.08779
1,0.24048,-0.09874,-0.91574,0.18835,-0.06543,-0.98486,-1.35660,3.19084,0.73882,-0.81298,4.17176,0.79008
1,0.29428,-0.12638,-1.00558,0.31067,-0.10645,-1.00195,-0.11832,4.40894,0.34842,0.84733,4.00000,0.70611
1,0.31592,-0.14931,-1.04689,0.25415,-0.13733,-1.01208,-0.85987,3.31407,0.66957,-0.62977,4.28626,0.85496
1,0.32858,-0.14788,-1.04129,0.34119,-0.13733,-1.01135,-0.77590,3.32170,0.46347,-0.54198,4.28626,0.85496
1,0.31039,-0.14157,-0.95654,0.27466,-0.13379,-0.97327,0.33206,5.12486,0.43511,-0.14885,4.50000,0.93511
1,0.33740,-0.14772,-0.99534,0.35193,-0.12866,-1.00574,-1.36968,4.60905,0.59106,-0.65649,4.50000,0.79771
1,0.42261,-0.11672,-0.91915,0.42712,-0.10742,-0.90735,-0.66957,4.39313,0.71592,-0.77481,3.97710,0.46565
1,0.35270,-0.13185,-1.00403,0.38135,-0.12048,-0.99707,-0.41658,5.50491,1.22628,-0.62595,5.36641,0.73664
1,0.29391,-0.14165,-1.00691,0.26025,-0.12952,-0.99670,-0.01036,4.78026,-0.12704,-0.08779,4.58779,0.70611
